gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
109624,19238.2915,-5.9632537,0.364624944,-16.35448643,4.04E-60,4.84E-58
11492,106.1628918,-5.117879528,0.313313074,-16.33471421,5.59E-60,6.66E-58
16777,6977.127822,-2.770975473,0.169858041,-16.31347839,7.92E-60,9.37E-58
360213,479.0271733,3.914531083,0.24013616,16.30129793,9.66E-60,1.14E-57
433938,167.8993098,-4.773270356,0.293260227,-16.2765691,1.45E-59,1.69E-57
13136,852.1917048,3.916539635,0.241247751,16.23451252,2.88E-59,3.34E-57
24117,2417.710684,-8.917712634,0.549444877,-16.23040456,3.07E-59,3.55E-57
227541,148.2704958,-4.790315556,0.296854844,-16.13689536,1.40E-58,1.61E-56
15530,7360.13313,-3.840894855,0.238296023,-16.11816597,1.90E-58,2.17E-56
545370,1342.040918,-7.246204308,0.449658581,-16.11490275,2.00E-58,2.27E-56
232821,132.4728865,-5.339775516,0.331547154,-16.10562915,2.33E-58,2.63E-56
12759,16824.89744,3.65830435,0.22750183,16.08032934,3.51E-58,3.93E-56
21385,470.5905609,-5.545244441,0.345142757,-16.06652413,4.38E-58,4.88E-56
18779,353.4701646,-6.579817182,0.409901944,-16.05217365,5.52E-58,6.11E-56
16008,9146.905912,-8.941679892,0.557101019,-16.05037432,5.68E-58,6.25E-56
19699,2848.890163,-7.897867741,0.492980034,-16.02066453,9.17E-58,1.00E-55
68519,620.309657,-5.157568862,0.323300302,-15.95287361,2.72E-57,2.96E-55
67516,367.7241759,-8.194787753,0.514455011,-15.92906587,3.98E-57,4.31E-55
56219,390.1236051,4.478771539,0.281480183,15.9114986,5.27E-57,5.67E-55
73608,513.3918684,3.77570123,0.237334072,15.90880398,5.51E-57,5.89E-55
226778,833.9023186,-6.440533082,0.405019069,-15.90180212,6.16E-57,6.55E-55
193385,977.5798795,-6.244156125,0.392745683,-15.89872633,6.47E-57,6.84E-55
72168,65.9664443,4.946770283,0.311360519,15.88759648,7.72E-57,8.12E-55
17260,795.9381658,-6.561398603,0.413202818,-15.87936558,8.81E-57,9.21E-55
108075,2326.881155,-4.015631716,0.25299958,-15.87208847,9.89E-57,1.03E-54
14425,1477.027466,1.939406564,0.12222234,15.86785657,1.06E-56,1.09E-54
67865,176.5640935,-3.479443913,0.219606424,-15.84399874,1.55E-56,1.59E-54
12338,676.8308613,-8.331140955,0.526785052,-15.81506713,2.45E-56,2.51E-54
238393,391.8233472,-5.018225811,0.31817903,-15.77170504,4.87E-56,4.96E-54
20498,890.5550902,-4.240702102,0.269049584,-15.7617865,5.70E-56,5.77E-54
22021,812.3064126,-5.07275073,0.322017003,-15.75305242,6.54E-56,6.59E-54
20444,410.0687237,-5.380169314,0.341704918,-15.74507425,7.42E-56,7.44E-54
74002,823.794893,-8.417075217,0.534605727,-15.74445389,7.50E-56,7.46E-54
52250,161.9407333,-5.891225788,0.374182896,-15.74424125,7.52E-56,7.46E-54
22420,739.7563506,-8.5756857,0.546352866,-15.69623998,1.60E-55,1.58E-53
12521,3550.02206,4.629555969,0.29610898,15.63463552,4.23E-55,4.15E-53
20341,238.4380398,3.411383446,0.21822521,15.63239853,4.38E-55,4.27E-53
629378,698.8171869,-7.424078824,0.47675513,-15.57210054,1.13E-54,1.09E-52
100503819,265.6290395,-6.823478919,0.438559131,-15.55885726,1.39E-54,1.34E-52
224116,565.4369763,5.249454141,0.337485549,15.5546042,1.48E-54,1.42E-52
18032,2505.344358,-2.240176629,0.144082547,-15.54786939,1.64E-54,1.57E-52
19122,2225.356504,-3.168814398,0.203881602,-15.54242447,1.79E-54,1.70E-52
72042,6843.693484,-3.436577582,0.221570936,-15.51005578,2.97E-54,2.81E-52
53374,78.17121553,-5.184511721,0.334530176,-15.49788955,3.58E-54,3.38E-52
73139,129.4908087,3.760969826,0.242802207,15.48985022,4.06E-54,3.81E-52
