"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"17765",621.899711035187,0.64486743634396,0.28799478493902,2.23916358930077,0.0251452739916697,0.0453731647534809
"15024",570.461006920862,0.325763642288644,0.145508767303013,2.2387904751489,0.0251695523173552,0.0454126456619785
"12675",1423.58041279479,0.474639563605761,0.212012784648798,2.23873085951872,0.0251734333519885,0.0454153203512673
"16994",7.48464696054511,1.05461625149025,0.471087518871384,2.23868434047428,0.0251764621461544,0.0454164571527523
"67226",571.009662774455,-0.300759035165303,0.134385155023396,-2.23803763974482,0.0252186006706169,0.0454881380487245
"241624",77.8717411771245,0.848159217684573,0.379047846486746,2.23760463367843,0.0252468491236656,0.0455347534108863
"246730",31.1244209515182,1.03232352454348,0.46152617557873,2.23676051146827,0.0253019967176297,0.0456255243668192
"66423",119.727590963689,1.19597380345423,0.534685510961683,2.23677989946493,0.0253007289059632,0.0456255243668192
"19041",2735.55335118295,1.34549668442974,0.601610570810174,2.23649109525751,0.0253196199597006,0.0456529553677717
"449000",41.5275665275275,1.10259597884704,0.493097743846345,2.23605967094146,0.0253478627151845,0.0456995270090748
"67426",723.922684393438,1.24769751328691,0.558027067666767,2.23590858863496,0.0253577596084994,0.0457130172738578
"76179",725.640271389182,-0.284075747889335,0.127122890191196,-2.23465457292607,0.025440035101315,0.0458569711165555
"71086",54.5493983306635,-0.772031440042226,0.34557695330436,-2.23403624767267,0.0254806881415489,0.0459258780839683
"74617",1094.55181888102,-0.33393730799747,0.149537994137918,-2.23312683791573,0.0255405812412184,0.0460294465278155
"433003",3.98732735265739,1.34546584425427,0.602800171723272,2.23202631214898,0.0256132239541412,0.0461559705289531
"242406",730.288914821615,0.338886643875919,0.151840219748735,2.2318634972783,0.025623986083334,0.0461709699754326
"634834",87.5080801689713,0.424329978254092,0.190140745903774,2.23166253102234,0.0256372754284038,0.0461905198364637
"432486",876.256324256792,0.517368391946204,0.231862393013092,2.23135966649405,0.025657314288132,0.0462178725844881
"66119",904.528723724262,0.576325306176276,0.25828440466124,2.2313592914453,0.0256573391114162,0.0462178725844881
"216154",620.901653406426,-0.401909030965422,0.180138379509914,-2.23111272599909,0.0256736629912182,0.0462428781464731
"433022",501.87825908307,1.55136222398398,0.695524282457188,2.23049325970797,0.0257147144347717,0.0463124134983323
"14026",655.36588732419,-0.694040249900186,0.311216018008792,-2.23009167182577,0.0257413576046158,0.0463559886708955
"78321",121.36360321304,0.525998803221155,0.235873093782615,2.23000764854479,0.0257469351111568,0.046361623337579
"394436",0.944199097103933,-3.22106989682347,1.44463603868586,-2.22967571801239,0.0257689790439356,0.0463969046422477
"100039684",19.8120254787889,-0.903256118670411,0.405317473934712,-2.22851511902965,0.0258461842733246,0.04653148740431
"73825",390.07745248785,-0.443717466264774,0.199117321018625,-2.22842223868244,0.0258523714841906,0.0465382013388158
"54397",287.203853030499,0.773063702059116,0.346983550463925,2.22795490168197,0.0258835225094128,0.0465898483879857
"75678",880.101263220552,0.734007475182967,0.329496168407249,2.22766619330077,0.0259027829996642,0.0466200849159356
"12794",37.9258293077789,-1.04835981832696,0.470886002042195,-2.22635587760159,0.0259903534164964,0.0467732488915448
"78382",2.37041439838238,4.86712071797265,2.18626638712517,2.22622492237676,0.025999119408127,0.0467801317944955
"12167",166.681385763842,0.951449455235676,0.427382430985074,2.22622500658878,0.0259991137702502,0.0467801317944955
"14359",2031.90657036832,-0.268696281485693,0.120714759265081,-2.22587762359411,0.0260223795672198,0.0468175346565697
"71920",146.477580391252,0.843753918722,0.379137824183664,2.22545434642064,0.0260507526628541,0.0468641283532997
"234515",109.659910890347,1.5931513890693,0.71604264531276,2.224939253965,0.0260853163871495,0.0469218488005215
"626391",22.0432859694368,-0.932801451804908,0.419277553836259,-2.22478270842325,0.0260958287547193,0.0469362991965284
"65115",1.7077676865629,-2.93972302526109,1.32170190746097,-2.2241951900549,0.0261353145372941,0.0470028538610493
"78520",25.180513770021,-0.742280668075957,0.333750405355532,-2.22405922559175,0.0261444597567906,0.0470148353153265
"68014",205.851863916321,0.854039664069232,0.384045358147752,2.223798949656,0.0261619741099395,0.047041863038708
"100126229",8.69843618628796,0.931854323769957,0.41905489105759,2.22370468321749,0.0261683199392985,0.0470488054060087
"66953",215.640994097396,-0.980617423356522,0.441149739175557,-2.22286751248941,0.0262247350053801,0.0471457588864287
"110196",696.207952823461,1.34098656586964,0.603337196115256,2.222615437112,0.0262417423788814,0.0471718551411508
"78303",2.71296292409646,1.62241368456467,0.730003648072117,2.22247339290611,0.0262513302141033,0.0471846104303998
"629242",1.56107330340589,3.07211050075892,1.38236042799156,2.22236577274019,0.0262585964783013,0.0471931908609546
